;NomeParlamentar;idecadastro;nuCarteiraParlamentar;nuLegislatura;sgUF;sgPartido;codLegislatura;numSubCota;txtDescricao;numEspecificacaoSubCota;txtDescricaoEspecificacao;Fornecedor;CNPJCPF;txtNumero;indTipoDocumento;datEmissao;vlrDocumento;vlrGlosa;vlrLiquido;numMes;numAno;numParcela;txtPassageiro;txtTrecho;numLote;numRessarcimento;vlrRestituicao;nuDeputadoId;ideDocumento
4796;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;ENERGISA PARAÍBA - Distribuidora de Energia S/A;9100000000000.0;484627;0;4/11/2017 0:00;128.57;3.93;124.64;4;2017;0;;;1382670;5833.0;0.0;2408;6273956
4797;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;ENERGISA PARAÍBA - Distribuidora de Energia S/A;9100000000000.0;492988;0;2/9/2017 0:00;46.89;0.0;46.89;2;2017;0;;;1365910;5772.0;0.0;2408;6230290
4798;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;JOSÉ EUDES MARTINS FERNANDES FILHO;5210861406.0;3;1;6/3/2017 0:00;5000.0;0.0;5000.0;6;2017;0;;;1400496;5889.0;0.0;2408;6326530
4799;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;JOSÉ EUDES MARTINS FERNANDES FILHO;5210861406.0;s/n;1;5/17/2017 0:00;5000.0;0.0;5000.0;4;2017;0;;;1390304;5853.0;0.0;2408;6296792
4800;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;JOSÉ EUDES MARTINS FERNANDES FILHO;5210861406.0;S/N;1;6/10/2017 0:00;5000.0;0.0;5000.0;5;2017;0;;;1395075;5876.0;0.0;2408;6296797
4801;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Maria da Conceição Falcão da Cunha Lima;82688338404.0;S/N;1;1/26/2017 0:00;4500.0;0.0;4500.0;1;2017;0;;;1358294;5727.0;0.0;2408;6209253
4802;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Maria da Conceição Falcão da Cunha Lima;82688338404.0;S/N;1;2/7/2017 0:00;4500.0;0.0;4500.0;2;2017;0;;;1365502;5774.0;0.0;2408;6229025
4803;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;PAPELARIA VM;22100000000000.0;1274;0;5/25/2017 0:00;75.6;0.0;75.6;5;2017;0;;;1391382;5862.0;0.0;2408;6299883
4804;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;PAPELARIA VM;22100000000000.0;819;0;2/21/2017 0:00;228.7;0.0;228.7;2;2017;0;;;1360764;5739.0;0.0;2408;6217346
4805;AGUINALDO RIBEIRO;160527.0;129.0;2015;PB;PP;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO 107 SUL LTDA.;37100000000000.0;102618;0;3/8/2017 0:00;184.0;0.0;184.0;3;2017;0;;;1363513;5761.0;0.0;2408;6224551
